SAMindex,EGsmlie2D,TC_mean,c_interface_mean,SAM_length_mean,Water_all_overlap_factor
SAM237,CNC(=O)[C@@H](N)CO,150.8895,-164.2857537,13.35501555,0.324505545
SAM238,CNC(=O)[C@H](N)CO,146.61725,-165.2462603,13.36534607,0.321660816
SAM239,C[N@@H+](CCN)CC(=O)[O-],147.17925,-196.8100809,13.65163056,0.313845384
SAM240,C[N@H+]1CCNC[C@H]1C(=O)[O-],112.7445,-202.3559959,15.81180783,0.318580205
SAM241,CN1C[C@H](N)C(=O)N1,168.05525,-203.1252761,13.78008596,0.329194549
SAM242,CNC1(CO)COC1,102.54675,-140.0778238,13.02546893,0.296869673
SAM243,C[C@H]1CNC[C@@H](C(N)=O)O1,158.52325,-217.2786823,14.86978604,0.3209052
SAM244,C[C@H]1CNC[C@H](C(N)=O)O1,157.45275,-210.3538648,14.55298242,0.322194925
SAM245,CN1C[C@H](O)[C@H](O)[C@@H](O)[C@H]1CO,138.41625,-153.3907916,19.42570963,0.298716804
SAM246,OC1(c2cn[nH]n2)CNC1,147.5875,-228.720994,13.36093506,0.296409659
SAM247,NCc1nnc2c(=O)[nH]ccn12,113.01625,-110.633115,16.90379103,0.343504527
SAM248,CN1C[C@@H](N)C(=O)N1,189.02575,-204.9972719,13.78225379,0.330599311
SAM249,CC(C)C[C@@H](NC(=O)CN)C(N)=O,143.703,-221.6112168,20.63670398,0.342253298
SAM250,OCCN1CCN(CCO)CC1,139.22025,-144.7144541,18.0855858,0.27586916
SAM251,O[C@H]1CNCCO1,78.32825,-103.3261047,12.85306082,0.280584698
SAM252,CC(=O)NCCN[C@@H]1CC(=O)NC1=O,138.537,-230.9770326,17.71086727,0.315133457
SAM253,OC[C@H]1N[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,163.802,-185.555116,15.60093524,0.30303435
SAM254,CNC(=O)NC[C@H]1COCCN1,74.32625,-112.4774377,17.33231916,0.317463526
SAM255,CNC1(C(N)=O)CNC1,127.93275,-146.0881637,13.77860945,0.320069945
SAM256,OCCNC1COC1,84.562,-115.1485134,14.52179252,0.279876321
SAM257,COCCN[C@@H]1CC(=O)NC1=O,136.585,-223.3840526,16.79593256,0.292242867
