,SAMindex,TC_mean,E_pair_var,c_interface_up_mean,c_interface_dw_mean,qed,MaxAbsPartialCharge,PEOE_VSA1,TPSA,MolLogP,MolMR
30,SAM031,154.28875,43031.0319,-157.2944131,-146.4088293,0.327957047,0.388211022,30.64232403,120.85,-3.2058,38.1238
31,SAM032,185.1475,28233.75918,-314.6245467,-280.4332008,0.419542007,0.543632998,21.36839953,110.86,-3.2216,34.6345
32,SAM033,77.066,57272.38131,-105.047249,-80.83150793,0.380398139,0.39158365,15.7401046,78.43,-1.2144,47.8972
33,SAM034,118.3065,45156.94983,-185.5518891,-160.6023103,0.293893289,0.467148493,14.43130987,63.68,-1.1849,35.695
34,SAM035,123.254,52224.08394,-127.5352065,-118.2404214,0.406370117,0.343866575,14.84818874,72.47,-1.137,35.6847
35,SAM036,123.7795,61235.83796,-130.7335313,-116.3450325,0.406370117,0.343866575,14.84818874,72.47,-1.137,35.6847
36,SAM037,190.9025,40182.21889,-258.6945718,-233.4264709,0.30670463,0.361293553,10.57125606,98.49,-1.934,29.1031
37,SAM038,198.18425,34189.181,-224.2259798,-204.9754221,0.348213363,0.368692179,11.05045608,89.26,-1.6995,34.9741
38,SAM039,128.26475,37486.00308,-156.0556349,-139.0113133,0.449971017,0.390616612,20.11411937,77.76,-1.374,34.6544
39,SAM040,155.1605,32985.79558,-197.9980703,-176.2506426,0.342031945,0.393579131,29.95750972,107.22,-2.7247,41.9672
40,SAM041,148.41975,30246.7713,-200.0927737,-181.6115855,0.342031945,0.393579131,29.95750972,107.22,-2.7247,41.9672
